Timestamp;Me identifico;Tengo;Estoy trabajando en;Salario mensual BRUTO (en tu moneda local);Salario mensual NETO (en tu moneda local)
domingo, 7 de junio de 2020;Hombre;30;Argentina;92000;72000
domingo, 7 de junio de 2020;Hombre;41;Chile;1967856;1571362
domingo, 7 de junio de 2020;Hombre;22;Argentina;170200;130000
domingo, 7 de junio de 2020;Hombre;32;Argentina;42000;36000
domingo, 7 de junio de 2020;Hombre;22;Argentina;60000;49800
domingo, 7 de junio de 2020;Mujer;30;Argentina;283000;265000
domingo, 7 de junio de 2020;Hombre;28;Argentina;54120;47875
domingo, 7 de junio de 2020;Hombre;22;Argentina;65000;40000
domingo, 7 de junio de 2020;Hombre;26;Argentina;65000;55000
domingo, 7 de junio de 2020;Hombre;34;Argentina;165000;111000
domingo, 7 de junio de 2020;Hombre;44;Argentina;100000;80000
domingo, 7 de junio de 2020;Hombre;26;Argentina;180000;150000
domingo, 7 de junio de 2020;Hombre;34;Argentina;106000;80000
domingo, 7 de junio de 2020;Hombre;33;Argentina;47000;44500
domingo, 7 de junio de 2020;Hombre;26;Argentina;61000;48000
domingo, 7 de junio de 2020;Hombre;38;Argentina;150000;100000
domingo, 7 de junio de 2020;Hombre;24;Argentina;118000;93000
domingo, 7 de junio de 2020;Hombre;31;Argentina;300000;300000
domingo, 7 de junio de 2020;Hombre;29;Argentina;60240,96;50000
domingo, 7 de junio de 2020;Hombre;38;Argentina;99000;78000
domingo, 7 de junio de 2020;Mujer;29;Argentina;100625;74989
domingo, 7 de junio de 2020;Hombre;40;Argentina;40000;34500
domingo, 7 de junio de 2020;Hombre;24;Argentina;50000;48000
domingo, 7 de junio de 2020;Hombre;40;Argentina;149000;106000
domingo, 7 de junio de 2020;Hombre;29;Argentina;125000;95000
domingo, 7 de junio de 2020;Hombre;34;Argentina;150000;125000
domingo, 7 de junio de 2020;Hombre;34;Argentina;52000;42000
domingo, 7 de junio de 2020;Hombre;25;Argentina;190000;120000
domingo, 7 de junio de 2020;Hombre;22;Argentina;50000;41500
domingo, 7 de junio de 2020;Hombre;30;Argentina;140000;102000
domingo, 7 de junio de 2020;Hombre;26;Argentina;38000;34000
domingo, 7 de junio de 2020;Hombre;29;Argentina;280000;280000
domingo, 7 de junio de 2020;Hombre;28;Argentina;65000;55000
domingo, 7 de junio de 2020;Hombre;35;Argentina;73000;65000
domingo, 7 de junio de 2020;Hombre;43;Argentina;100000;85000
domingo, 7 de junio de 2020;Hombre;37;Argentina;240000;199000
domingo, 7 de junio de 2020;Mujer;32;Argentina;140000;140000
domingo, 7 de junio de 2020;Mujer;31;Argentina;124000;92500
domingo, 7 de junio de 2020;Hombre;20;Argentina;54000;43000
domingo, 7 de junio de 2020;Hombre;20;Argentina;35929;29822
domingo, 7 de junio de 2020;Hombre;29;Argentina;150000;117000
domingo, 7 de junio de 2020;Hombre;29;Argentina;41000;35500
domingo, 7 de junio de 2020;Hombre;32;Argentina;33000;27
domingo, 7 de junio de 2020;Hombre;38;Argentina;84762;68768,51
domingo, 7 de junio de 2020;Mujer;33;Argentina;80000;67
domingo, 7 de junio de 2020;Hombre;30;Argentina;17000;14000
domingo, 7 de junio de 2020;Hombre;24;Argentina;110000;80000
domingo, 7 de junio de 2020;Hombre;19;Argentina;49000;49000
domingo, 7 de junio de 2020;Hombre;37;Argentina;130000;95
domingo, 7 de junio de 2020;Hombre;27;Argentina;52452;51209
domingo, 7 de junio de 2020;Hombre;29;Argentina;56000;47000
domingo, 7 de junio de 2020;Hombre;29;Argentina;45000;39000
domingo, 7 de junio de 2020;Hombre;31;Argentina;74000;60963
domingo, 7 de junio de 2020;Hombre;47;Argentina;90000;70000
domingo, 7 de junio de 2020;Mujer;24;Argentina;101500;75700
domingo, 7 de junio de 2020;Mujer;27;Argentina;145000;100000
domingo, 7 de junio de 2020;Hombre;31;Argentina;83000;70000
domingo, 7 de junio de 2020;Hombre;29;Argentina;151000;100000
domingo, 7 de junio de 2020;Hombre;29;Argentina;58000;48000
domingo, 7 de junio de 2020;Hombre;45;Argentina;350000;220000
domingo, 7 de junio de 2020;Hombre;30;Argentina;134000;99000
domingo, 7 de junio de 2020;Hombre;39;Argentina;123000;
domingo, 7 de junio de 2020;Hombre;26;Argentina;77000;71000
domingo, 7 de junio de 2020;Hombre;30;Argentina;120000;
domingo, 7 de junio de 2020;Hombre;36;Argentina;180000;120000
domingo, 7 de junio de 2020;Hombre;27;Argentina;120000;90000
domingo, 7 de junio de 2020;Mujer;37;Argentina;40000;33200
domingo, 7 de junio de 2020;Hombre;43;Argentina;350000;230000
domingo, 7 de junio de 2020;Hombre;28;Argentina;45000;36900
domingo, 7 de junio de 2020;Hombre;38;Argentina;80000;65000
domingo, 7 de junio de 2020;Mujer;42;Argentina;60000;54000
domingo, 7 de junio de 2020;Hombre;29;Argentina;85000;65000
domingo, 7 de junio de 2020;Hombre;26;Argentina;62246;50888
domingo, 7 de junio de 2020;Hombre;27;Argentina;80500;66815
domingo, 7 de junio de 2020;Hombre;36;Argentina;200000;170000
domingo, 7 de junio de 2020;Hombre;24;Argentina;57634;46750
domingo, 7 de junio de 2020;Hombre;27;Argentina;121700;93000
domingo, 7 de junio de 2020;Hombre;27;Argentina;150000;106000
domingo, 7 de junio de 2020;Hombre;40;Argentina;200000;100000
domingo, 7 de junio de 2020;Hombre;25;Argentina;60000;
domingo, 7 de junio de 2020;Hombre;32;Argentina;120000;88500
domingo, 7 de junio de 2020;Hombre;36;Argentina;50000;44000
domingo, 7 de junio de 2020;Hombre;34;Argentina;110000;84900
domingo, 7 de junio de 2020;Hombre;31;Argentina;78000;65000
domingo, 7 de junio de 2020;Hombre;30;Argentina;58000;48000
domingo, 7 de junio de 2020;Hombre;35;Argentina;280000;240000
domingo, 7 de junio de 2020;Hombre;43;Argentina;119000;84000
domingo, 7 de junio de 2020;Hombre;41;Argentina;58000;48000
domingo, 7 de junio de 2020;Hombre;30;Argentina;67000;55000
domingo, 7 de junio de 2020;Mujer;34;Argentina;65000;56000
domingo, 7 de junio de 2020;Mujer;34;Argentina;55;51
domingo, 7 de junio de 2020;Hombre;30;Argentina;45000;35200
domingo, 7 de junio de 2020;Hombre;32;Argentina;230000;200000
domingo, 7 de junio de 2020;Hombre;23;Argentina;33000;29500
domingo, 7 de junio de 2020;Hombre;26;Argentina;100000;75000
domingo, 7 de junio de 2020;Hombre;25;Argentina;90000;70000
domingo, 7 de junio de 2020;Hombre;26;Argentina;36000;29880
domingo, 7 de junio de 2020;Hombre;34;Argentina;6300;57000
domingo, 7 de junio de 2020;Mujer;39;Argentina;200000;150000
domingo, 7 de junio de 2020;Hombre;36;Argentina;64000;53000
domingo, 7 de junio de 2020;Hombre;30;Argentina;77000;57000
domingo, 7 de junio de 2020;Hombre;26;Argentina;99000;78400
domingo, 7 de junio de 2020;Otros;48;Argentina;85000;70
domingo, 7 de junio de 2020;Hombre;34;Argentina;110000;95000
domingo, 7 de junio de 2020;Hombre;29;Argentina;124000;92650
domingo, 7 de junio de 2020;Hombre;26;Argentina;75;62
domingo, 7 de junio de 2020;Hombre;35;Argentina;108000;83000
domingo, 7 de junio de 2020;Hombre;27;Argentina;107000;81000
domingo, 7 de junio de 2020;Hombre;24;Argentina;84000;69000
domingo, 7 de junio de 2020;Hombre;33;Argentina;50000;41500
domingo, 7 de junio de 2020;Hombre;21;Argentina;50000;41500
domingo, 7 de junio de 2020;Hombre;33;Argentina;168000;120000
domingo, 7 de junio de 2020;Hombre;30;Argentina;43000;38000
domingo, 7 de junio de 2020;Mujer;28;Argentina;52600;40700
domingo, 7 de junio de 2020;Hombre;26;Argentina;90000;72000
domingo, 7 de junio de 2020;Hombre;25;Argentina;57000;46000
domingo, 7 de junio de 2020;Hombre;34;Argentina;130000;95000
domingo, 7 de junio de 2020;Hombre;37;Argentina;76000;62500
domingo, 7 de junio de 2020;Hombre;30;Argentina;134000;101000
martes, 7 de julio de 2020;Mujer;41;Argentina;185000;146000
martes, 7 de julio de 2020;Hombre;34;Argentina;140000;104000
martes, 7 de julio de 2020;Hombre;28;Argentina;56000;45000
martes, 7 de julio de 2020;Hombre;29;Argentina;100000;82000
martes, 7 de julio de 2020;Hombre;22;Argentina;48000;40000
martes, 7 de julio de 2020;Hombre;21;Argentina;27500;27500
martes, 7 de julio de 2020;Hombre;30;Argentina;166500;108000
martes, 7 de julio de 2020;Hombre;24;Argentina;110000;89000
martes, 7 de julio de 2020;Hombre;42;Uruguay;180000;120000
martes, 7 de julio de 2020;Hombre;42;Uruguay;180000;120000
martes, 7 de julio de 2020;Hombre;27;Argentina;110000;87000
martes, 7 de julio de 2020;Hombre;26;Argentina;59000;48000
martes, 7 de julio de 2020;Hombre;29;Argentina;223000;150000
martes, 7 de julio de 2020;Hombre;33;Argentina;108000;85000
martes, 7 de julio de 2020;Hombre;36;Argentina;60000;50000
martes, 7 de julio de 2020;Hombre;38;Argentina;220000;155000
martes, 7 de julio de 2020;Hombre;31;Argentina;100000;86000
martes, 7 de julio de 2020;Hombre;43;Argentina;110000;90000
martes, 7 de julio de 2020;Hombre;42;Argentina;124100;92000
martes, 7 de julio de 2020;Hombre;19;Argentina;80000;67000
martes, 7 de julio de 2020;Hombre;32;Argentina;103000;85000
martes, 7 de julio de 2020;Hombre;25;Argentina;85;69
martes, 7 de julio de 2020;Hombre;25;Argentina;60000;52000
martes, 7 de julio de 2020;Hombre;26;Argentina;61440;56586
martes, 7 de julio de 2020;Hombre;30;Argentina;124387,2;92650
martes, 7 de julio de 2020;Hombre;25;Argentina;90000;73000
martes, 7 de julio de 2020;Hombre;26;Argentina;110000;89000
martes, 7 de julio de 2020;Hombre;24;Argentina;105000;87000
martes, 7 de julio de 2020;Hombre;25;Argentina;234000;170000
martes, 7 de julio de 2020;Hombre;39;Argentina;60000;47000
martes, 7 de julio de 2020;Hombre;27;Argentina;82000;65000
martes, 7 de julio de 2020;Hombre;30;Argentina;84000;68000
martes, 7 de julio de 2020;Hombre;30;Argentina;125000;100000
martes, 7 de julio de 2020;Hombre;40;Argentina;90000;70000
martes, 7 de julio de 2020;Hombre;30;Argentina;125000;93500
martes, 7 de julio de 2020;Hombre;25;Argentina;125000;93000
martes, 7 de julio de 2020;Hombre;25;Argentina;195000;153000
martes, 7 de julio de 2020;Hombre;25;Argentina;40000;40000
martes, 7 de julio de 2020;Hombre;29;Argentina;96385;80000
martes, 7 de julio de 2020;Hombre;37;Argentina;122000;94000
martes, 7 de julio de 2020;Hombre;45;Argentina;66214;54000
martes, 7 de julio de 2020;Hombre;27;Argentina;70000;38000
martes, 7 de julio de 2020;Hombre;29;Argentina;155000;105000
martes, 7 de julio de 2020;Hombre;45;Argentina;96000;80000
martes, 7 de julio de 2020;Hombre;32;Argentina;187;127
martes, 7 de julio de 2020;Hombre;26;Argentina;90000;70000
martes, 7 de julio de 2020;Hombre;41;Argentina;5000;5000
martes, 7 de julio de 2020;Hombre;27;Argentina;37500;31500
martes, 7 de julio de 2020;Mujer;21;Argentina;35707;32125
martes, 7 de julio de 2020;Hombre;31;Argentina;70000;54000
martes, 7 de julio de 2020;Hombre;23;Argentina;42981,25;35674
martes, 7 de julio de 2020;Mujer;33;Argentina;165000;121000
martes, 7 de julio de 2020;Hombre;32;Argentina;99000;77000
martes, 7 de julio de 2020;Hombre;39;Argentina;65000;50000
martes, 7 de julio de 2020;Hombre;44;Argentina;280000;200000
martes, 7 de julio de 2020;Hombre;26;Argentina;120000;93000
martes, 7 de julio de 2020;Hombre;40;Argentina;150000;115000
martes, 7 de julio de 2020;Hombre;34;Argentina;72000;58500
martes, 7 de julio de 2020;Hombre;26;Argentina;150000;110000
martes, 7 de julio de 2020;Hombre;27;Argentina;40440;33560
martes, 7 de julio de 2020;Hombre;25;Argentina;180000;130000
martes, 7 de julio de 2020;Hombre;24;Argentina;100000;100000
martes, 7 de julio de 2020;Hombre;25;Argentina;110000;84000
martes, 7 de julio de 2020;Hombre;26;Argentina;21.329;18,23
martes, 7 de julio de 2020;Hombre;25;Chile;2302000;2000000
martes, 7 de julio de 2020;Hombre;27;Argentina;20000;38000
martes, 7 de julio de 2020;Hombre;41;Argentina;180000;
martes, 7 de julio de 2020;Hombre;21;Argentina;30000;27000
martes, 7 de julio de 2020;Hombre;30;Argentina;100000;83000
martes, 7 de julio de 2020;Hombre;44;Argentina;90;60
martes, 7 de julio de 2020;Hombre;37;Argentina;90000;75000
martes, 7 de julio de 2020;Hombre;35;Argentina;242000;185000
martes, 7 de julio de 2020;Mujer;38;Argentina;222000;150000
martes, 7 de julio de 2020;Mujer;34;Argentina;73000;64552
martes, 7 de julio de 2020;Mujer;23;Argentina;120000;90000
martes, 7 de julio de 2020;Hombre;25;Argentina;56400;48000
martes, 7 de julio de 2020;Mujer;46;Argentina;108000;
martes, 7 de julio de 2020;Hombre;24;Argentina;43000;40000
martes, 7 de julio de 2020;Hombre;38;Argentina;230000;165000
martes, 7 de julio de 2020;Hombre;30;Argentina;93000;77000
martes, 7 de julio de 2020;Mujer;22;Argentina;45000;37000
martes, 7 de julio de 2020;Hombre;38;Argentina;121000;88000
martes, 7 de julio de 2020;Mujer;33;Argentina;180000;169000
martes, 7 de julio de 2020;Hombre;37;Argentina;125000;105000
martes, 7 de julio de 2020;Hombre;37;Argentina;800000;500000
martes, 7 de julio de 2020;Hombre;23;Argentina;50225,43;41385,75
martes, 7 de julio de 2020;Mujer;27;Argentina;83000;68000
viernes, 7 de agosto de 2020;Mujer;27;Argentina;83000;68000
viernes, 7 de agosto de 2020;Mujer;29;Argentina;47000;40000
viernes, 7 de agosto de 2020;Hombre;28;Argentina;405000;230000
viernes, 7 de agosto de 2020;Otros;40;Argentina;420000;380000
viernes, 7 de agosto de 2020;Hombre;26;Argentina;30000;21000
viernes, 7 de agosto de 2020;Hombre;22;Argentina;50000;50000
viernes, 7 de agosto de 2020;Hombre;26;Argentina;51000;44000
viernes, 7 de agosto de 2020;Mujer;26;Argentina;36000;29880
viernes, 7 de agosto de 2020;Mujer;33;Argentina;52000;43000
viernes, 7 de agosto de 2020;Mujer;22;Argentina;39300;32700
viernes, 7 de agosto de 2020;Mujer;25;Argentina;40000;34500
viernes, 7 de agosto de 2020;Hombre;25;Argentina;21800;19800
viernes, 7 de agosto de 2020;Mujer;22;Argentina;39,3;32,8
viernes, 7 de agosto de 2020;Hombre;32;Argentina;124000;93000
viernes, 7 de agosto de 2020;Hombre;27;Argentina;89000;76000
viernes, 7 de agosto de 2020;Hombre;40;Argentina;140000;92000
viernes, 7 de agosto de 2020;Hombre;40;Argentina;87000;76000
viernes, 7 de agosto de 2020;Hombre;21;Argentina;30000;25000
viernes, 7 de agosto de 2020;Mujer;33;Argentina;60722;50400
viernes, 7 de agosto de 2020;Hombre;25;Argentina;96000;77000
viernes, 7 de agosto de 2020;Mujer;28;Argentina;381000;340000
viernes, 7 de agosto de 2020;Mujer;25;Argentina;85000;69000
viernes, 7 de agosto de 2020;Hombre;35;Argentina;180000;120000
viernes, 7 de agosto de 2020;Hombre;37;Argentina;137800;94000
viernes, 7 de agosto de 2020;Hombre;21;Argentina;43;39
viernes, 7 de agosto de 2020;Hombre;25;Argentina;48000;44000
viernes, 7 de agosto de 2020;Hombre;36;Argentina;90;70
viernes, 7 de agosto de 2020;Hombre;26;Argentina;43050;43050
viernes, 7 de agosto de 2020;Mujer;33;Argentina;51100;42413
viernes, 7 de agosto de 2020;Hombre;36;Argentina;85000;70000
viernes, 7 de agosto de 2020;Hombre;21;Argentina;48000;39800
viernes, 7 de agosto de 2020;Hombre;29;Argentina;363000;300000
viernes, 7 de agosto de 2020;Hombre;37;Argentina;450000;340099
viernes, 7 de agosto de 2020;Mujer;29;Argentina;100000;83000
viernes, 7 de agosto de 2020;Hombre;29;Argentina;144000;100000
viernes, 7 de agosto de 2020;Mujer;22;Argentina;79000;65000
viernes, 7 de agosto de 2020;Hombre;27;Argentina;112000;88000
viernes, 7 de agosto de 2020;Hombre;42;Argentina;260000;
viernes, 7 de agosto de 2020;Hombre;23;Argentina;55000;45000
viernes, 7 de agosto de 2020;Hombre;34;Argentina;480000;430000
viernes, 7 de agosto de 2020;Mujer;24;Argentina;42000;35000
viernes, 7 de agosto de 2020;Hombre;40;Argentina;85000;68000
viernes, 7 de agosto de 2020;Hombre;35;Argentina;120000;89000
viernes, 7 de agosto de 2020;Hombre;20;Argentina;45150;
viernes, 7 de agosto de 2020;Hombre;31;Argentina;141882;103330
viernes, 7 de agosto de 2020;Hombre;29;Argentina;52000;40000
viernes, 7 de agosto de 2020;Hombre;45;Argentina;120000;120000
viernes, 7 de agosto de 2020;Hombre;37;Argentina;120000;115000
viernes, 7 de agosto de 2020;Hombre;43;Argentina;91200;73500
viernes, 7 de agosto de 2020;Hombre;36;Argentina;182000;122000
viernes, 7 de agosto de 2020;Hombre;35;Argentina;200000;
viernes, 7 de agosto de 2020;Hombre;35;Argentina;303689;167033
viernes, 7 de agosto de 2020;Mujer;25;Argentina;50000;50000
viernes, 7 de agosto de 2020;Hombre;39;Argentina;130000;120000
viernes, 7 de agosto de 2020;Hombre;40;Argentina;650000;422500
viernes, 7 de agosto de 2020;Hombre;20;Argentina;41000;41000
viernes, 7 de agosto de 2020;Hombre;20;Argentina;94000;
viernes, 7 de agosto de 2020;Hombre;33;Argentina;85000;70500
viernes, 7 de agosto de 2020;Hombre;35;Argentina;336000;210000
viernes, 7 de agosto de 2020;Hombre;39;Argentina;145000;135000
viernes, 7 de agosto de 2020;Hombre;40;Argentina;150000;110000
viernes, 7 de agosto de 2020;Hombre;33;Argentina;42300;32900
viernes, 7 de agosto de 2020;Mujer;36;Argentina;91700;73500
viernes, 7 de agosto de 2020;Hombre;26;Argentina;93000;80000
viernes, 7 de agosto de 2020;Hombre;33;Argentina;130000;103057
viernes, 7 de agosto de 2020;Hombre;24;Argentina;99000;75000
viernes, 7 de agosto de 2020;Mujer;24;Argentina;50000;42000
viernes, 7 de agosto de 2020;Hombre;47;Argentina;182000;140000
viernes, 7 de agosto de 2020;Hombre;27;Argentina;82000;68000
viernes, 7 de agosto de 2020;Hombre;27;Argentina;52400;46200
viernes, 7 de agosto de 2020;Hombre;42;Argentina;192000;120000
viernes, 7 de agosto de 2020;Hombre;34;Argentina;172800;138500
viernes, 7 de agosto de 2020;Mujer;27;Argentina;35000;32000
viernes, 7 de agosto de 2020;Hombre;35;Argentina;370000;
viernes, 7 de agosto de 2020;Hombre;36;Argentina;264000;
viernes, 7 de agosto de 2020;Hombre;43;Argentina;120000;95000
viernes, 7 de agosto de 2020;Hombre;25;Argentina;75000;65000
viernes, 7 de agosto de 2020;Hombre;27;Argentina;60000;47000
viernes, 7 de agosto de 2020;Hombre;49;Argentina;122000;91000
viernes, 7 de agosto de 2020;Hombre;47;Argentina;180000;144000
viernes, 7 de agosto de 2020;Hombre;30;Argentina;100000;83000
viernes, 7 de agosto de 2020;Otros;27;Argentina;55000;50000
viernes, 7 de agosto de 2020;Hombre;39;Argentina;65000;53950
viernes, 7 de agosto de 2020;Mujer;27;Argentina;45000;43000
viernes, 7 de agosto de 2020;Hombre;22;Argentina;65000;54000
viernes, 7 de agosto de 2020;Hombre;29;Argentina;65940;56741
viernes, 7 de agosto de 2020;Hombre;27;Argentina;77000;64000
viernes, 7 de agosto de 2020;Hombre;30;Argentina;55000;45000
viernes, 7 de agosto de 2020;Mujer;27;Argentina;32500;
viernes, 7 de agosto de 2020;Hombre;38;Argentina;130000;105000
viernes, 7 de agosto de 2020;Hombre;26;Argentina;100000;78000
viernes, 7 de agosto de 2020;Hombre;24;Argentina;134333;99000
viernes, 7 de agosto de 2020;Hombre;29;Argentina;89000;68000
viernes, 7 de agosto de 2020;Hombre;31;Argentina;132000;96000
viernes, 7 de agosto de 2020;Hombre;35;Argentina;90000;85000
viernes, 7 de agosto de 2020;Hombre;34;Argentina;99000;95000
viernes, 7 de agosto de 2020;Hombre;29;México;38356,2;30000
viernes, 7 de agosto de 2020;Hombre;31;Argentina;66200;54946
viernes, 7 de agosto de 2020;Hombre;20;Argentina;57000;47400
viernes, 7 de agosto de 2020;Hombre;47;Argentina;130000;93000
viernes, 7 de agosto de 2020;Hombre;40;Argentina;140000;110000
viernes, 7 de agosto de 2020;Hombre;35;Argentina;265558,72;165000
viernes, 7 de agosto de 2020;Hombre;26;Argentina;72007,42;57967
viernes, 7 de agosto de 2020;Hombre;22;Argentina;34531;31495
viernes, 7 de agosto de 2020;Hombre;24;Argentina;124000;91000
viernes, 7 de agosto de 2020;Hombre;45;Argentina;170000;130000
viernes, 7 de agosto de 2020;Hombre;30;Argentina;130000;100000
viernes, 7 de agosto de 2020;Hombre;24;Argentina;160000;113000
viernes, 7 de agosto de 2020;Hombre;28;Argentina;86068;66393
viernes, 7 de agosto de 2020;Hombre;30;Argentina;158000;104000
viernes, 7 de agosto de 2020;Hombre;34;Argentina;100000;80000
viernes, 7 de agosto de 2020;Hombre;26;Argentina;53000;45000
viernes, 7 de agosto de 2020;Hombre;30;Argentina;50000;49000
viernes, 7 de agosto de 2020;Mujer;36;Argentina;110000;82000
viernes, 7 de agosto de 2020;Hombre;52;Argentina;80000;65343
viernes, 7 de agosto de 2020;Mujer;28;Argentina;72300;60000
viernes, 7 de agosto de 2020;Hombre;31;Argentina;66000;58000
viernes, 7 de agosto de 2020;Hombre;37;Argentina;185000;132000
viernes, 7 de agosto de 2020;Mujer;29;Argentina;66000;56400
viernes, 7 de agosto de 2020;Mujer;23;Argentina;36501,96;
viernes, 7 de agosto de 2020;Hombre;38;Argentina;60325,01;50069,76
viernes, 7 de agosto de 2020;Hombre;32;Argentina;75000;60000
viernes, 7 de agosto de 2020;Hombre;24;Argentina;49800;40600
viernes, 7 de agosto de 2020;Hombre;23;Argentina;57000;48000
viernes, 7 de agosto de 2020;Mujer;37;Argentina;53000;44300
viernes, 7 de agosto de 2020;Mujer;28;Argentina;50700;41000
viernes, 7 de agosto de 2020;Hombre;26;Argentina;63855;53000
viernes, 7 de agosto de 2020;Mujer;30;Argentina;20000;16000
viernes, 7 de agosto de 2020;Mujer;22;Argentina;48000;40000
viernes, 7 de agosto de 2020;Hombre;42;Argentina;120000;90000
viernes, 7 de agosto de 2020;Mujer;31;Argentina;37000;32000
viernes, 7 de agosto de 2020;Hombre;36;Argentina;220000;140000
viernes, 7 de agosto de 2020;Mujer;29;Argentina;125000;100000
viernes, 7 de agosto de 2020;Hombre;26;Argentina;25000;22000
viernes, 7 de agosto de 2020;Mujer;25;Argentina;45000;38000
viernes, 7 de agosto de 2020;Hombre;46;Argentina;110000;88000
viernes, 7 de agosto de 2020;Mujer;30;Argentina;45000;38000
viernes, 7 de agosto de 2020;Hombre;24;Argentina;75000;62700
viernes, 7 de agosto de 2020;Mujer;28;Argentina;410000;270000
viernes, 7 de agosto de 2020;Hombre;41;Chile;2400000;2000000
viernes, 7 de agosto de 2020;Mujer;30;Argentina;135000;110000
viernes, 7 de agosto de 2020;Hombre;24;Argentina;80;67
viernes, 7 de agosto de 2020;Hombre;29;Argentina;45000;38000
viernes, 7 de agosto de 2020;Hombre;50;Argentina;90000;75000
viernes, 7 de agosto de 2020;Hombre;38;Argentina;40000;35000
viernes, 7 de agosto de 2020;Hombre;30;Argentina;74;58
viernes, 7 de agosto de 2020;Hombre;33;Argentina;320000;275000
viernes, 7 de agosto de 2020;Hombre;33;Chile;1300000;1000000
viernes, 7 de agosto de 2020;Hombre;33;Argentina;52000;49000
